ETHUSDT,2841.17,2022-04-29 11:53:00.0
ETHUSDT,2838.99,2022-04-29 11:54:00.0
ETHUSDT,2841.11,2022-04-29 11:55:00.0
ETHUSDT,2842.19,2022-04-29 11:56:00.0
ETHUSDT,2844.58,2022-04-29 11:57:00.0
ETHUSDT,2845.49,2022-04-29 11:58:00.0
ETHUSDT,2844.39,2022-04-29 11:59:00.0
ETHUSDT,2843.12,2022-04-29 12:00:00.0
ETHUSDT,2847.12,2022-04-29 12:01:00.0
ETHUSDT,2846.58,2022-04-29 12:02:00.0
ETHUSDT,2840.99,2022-04-29 12:03:00.0
ETHUSDT,2839.38,2022-04-29 12:04:00.0
ETHUSDT,2839.51,2022-04-29 12:05:00.0
ETHUSDT,2837.41,2022-04-29 12:06:00.0
ETHUSDT,2835.11,2022-04-29 12:07:00.0
ETHUSDT,2839.80,2022-04-29 12:08:00.0
ETHUSDT,2843.58,2022-04-29 12:09:00.0
ETHUSDT,2844.87,2022-04-29 12:10:00.0
ETHUSDT,2844.53,2022-04-29 12:11:00.0
ETHUSDT,2844.17,2022-04-29 12:12:00.0
ETHUSDT,2848.02,2022-04-29 12:13:00.0
ETHUSDT,2852.38,2022-04-29 12:14:00.0
ETHUSDT,2855.28,2022-04-29 12:15:00.0
ETHUSDT,2853.40,2022-04-29 12:16:00.0
ETHUSDT,2857.02,2022-04-29 12:17:00.0
ETHUSDT,2859.34,2022-04-29 12:18:00.0
ETHUSDT,2860.65,2022-04-29 12:19:00.0
ETHUSDT,2861.37,2022-04-29 12:20:00.0
ETHUSDT,2858.11,2022-04-29 12:21:00.0
ETHUSDT,2860.53,2022-04-29 12:22:00.0
ETHUSDT,2862.51,2022-04-29 12:23:00.0
ETHUSDT,2862.83,2022-04-29 12:24:00.0
ETHUSDT,2864.99,2022-04-29 12:25:00.0
ETHUSDT,2862.25,2022-04-29 12:26:00.0
ETHUSDT,2863.92,2022-04-29 12:27:00.0
ETHUSDT,2865.32,2022-04-29 12:28:00.0
ETHUSDT,2869.06,2022-04-29 12:29:00.0
ETHUSDT,2868.92,2022-04-29 12:30:00.0
ETHUSDT,2862.02,2022-04-29 12:31:00.0
ETHUSDT,2860.93,2022-04-29 12:32:00.0
ETHUSDT,2861.01,2022-04-29 12:33:00.0
ETHUSDT,2859.84,2022-04-29 12:34:00.0
ETHUSDT,2865.72,2022-04-29 12:35:00.0
ETHUSDT,2859.24,2022-04-29 12:36:00.0
ETHUSDT,2858.72,2022-04-29 12:37:00.0
ETHUSDT,2859.97,2022-04-29 12:38:00.0
ETHUSDT,2861.32,2022-04-29 12:39:00.0
ETHUSDT,2861.82,2022-04-29 12:40:00.0
ETHUSDT,2862.85,2022-04-29 12:41:00.0
ETHUSDT,2862.50,2022-04-29 12:42:00.0
ETHUSDT,2864.26,2022-04-29 12:43:00.0
ETHUSDT,2867.34,2022-04-29 12:44:00.0
ETHUSDT,2873.94,2022-04-29 12:45:00.0
ETHUSDT,2872.13,2022-04-29 12:46:00.0
ETHUSDT,2871.49,2022-04-29 12:47:00.0
ETHUSDT,2872.47,2022-04-29 12:48:00.0
ETHUSDT,2872.68,2022-04-29 12:49:00.0
ETHUSDT,2868.87,2022-04-29 12:50:00.0
ETHUSDT,2867.87,2022-04-29 12:51:00.0
ETHUSDT,2864.70,2022-04-29 12:52:00.0
